,title,pct_n_affected,total_cost
0,"(0, 0, 0, 0, 0, 0, 0, 0, 0)",22.6199946964,887511.3
1,"(0, 0, 0, 0, 0, 0, 0, 0, 1)",22.0100769027,896701.433333
2,"(0, 0, 0, 0, 0, 0, 0, 0, 2)",21.8111906656,914003.066667
3,"(0, 0, 0, 0, 0, 0, 0, 1, 0)",20.5913550782,878097.466667
4,"(0, 0, 0, 0, 0, 0, 0, 1, 1)",19.9814372845,887287.6
5,"(0, 0, 0, 0, 0, 0, 0, 1, 2)",19.7825510475,904589.233333
6,"(0, 0, 0, 0, 0, 0, 0, 2, 0)",20.1803235216,907035.633333
7,"(0, 0, 0, 0, 0, 0, 0, 2, 1)",19.5704057279,916225.766667
8,"(0, 0, 0, 0, 0, 0, 0, 2, 2)",19.3715194909,933527.4
9,"(0, 0, 0, 0, 0, 0, 1, 0, 0)",21.1614956245,872647.1
10,"(0, 0, 0, 0, 0, 0, 1, 0, 1)",20.5515778308,881837.233333
11,"(0, 0, 0, 0, 0, 0, 1, 0, 2)",20.3526915937,899138.866667
12,"(0, 0, 0, 0, 0, 0, 1, 1, 0)",19.1328560064,863233.266667
13,"(0, 0, 0, 0, 0, 0, 1, 1, 1)",18.5229382127,872423.4
14,"(0, 0, 0, 0, 0, 0, 1, 1, 2)",18.3240519756,889725.033333
15,"(0, 0, 0, 0, 0, 0, 1, 2, 0)",18.7218244497,892171.433333
16,"(0, 0, 0, 0, 0, 0, 1, 2, 1)",18.1119066561,901361.566667
17,"(0, 0, 0, 0, 0, 0, 1, 2, 2)",17.913020419,918663.2
18,"(0, 0, 0, 0, 0, 0, 2, 0, 0)",19.8886237072,874033.566667
19,"(0, 0, 0, 0, 0, 0, 2, 0, 1)",19.2787059136,883223.7
20,"(0, 0, 0, 0, 0, 0, 2, 0, 2)",19.0798196765,900525.333333
21,"(0, 0, 0, 0, 0, 0, 2, 1, 0)",17.8599840891,864619.733333
22,"(0, 0, 0, 0, 0, 0, 2, 1, 1)",17.2500662954,873809.866667
23,"(0, 0, 0, 0, 0, 0, 2, 1, 2)",17.0511800583,891111.5
24,"(0, 0, 0, 0, 0, 0, 2, 2, 0)",17.4489525325,893557.9
25,"(0, 0, 0, 0, 0, 0, 2, 2, 1)",16.8390347388,902748.033333
26,"(0, 0, 0, 0, 0, 0, 2, 2, 2)",16.6401485017,920049.666667
27,"(0, 0, 0, 0, 0, 1, 0, 0, 0)",22.6199946964,911287.233333
28,"(0, 0, 0, 0, 0, 1, 0, 0, 1)",22.0100769027,920477.366667
29,"(0, 0, 0, 0, 0, 1, 0, 0, 2)",21.8111906656,937779.0
30,"(0, 0, 0, 0, 0, 1, 0, 1, 0)",20.5913550782,901873.4
31,"(0, 0, 0, 0, 0, 1, 0, 1, 1)",19.9814372845,911063.533333
32,"(0, 0, 0, 0, 0, 1, 0, 1, 2)",19.7825510475,928365.166667
